  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  1011     1   0  6Jun26 ??         0:39.03 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501  1012     1   0  6Jun26 ??        10:10.18 /usr/libexec/trustd --agent
  501  1013     1   0  6Jun26 ??         0:07.43 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501  1014     1   0  6Jun26 ??         0:00.02 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
  501  1016     1   0  6Jun26 ??         1:50.43 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501  1018     1   0  6Jun26 ??         0:47.50 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501  1019     1   0  6Jun26 ??         5:38.69 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501  1020     1   0  6Jun26 ??         0:07.71 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501  1021     1   0  6Jun26 ??        10:55.52 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501  1022     1   0  6Jun26 ??        80:16.62 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  501  1025     1   0  6Jun26 ??         0:01.80 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  501  1026     1   0  6Jun26 ??         0:35.16 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  501  1027     1   0  6Jun26 ??         0:06.29 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
