  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   985     1   0  6Jun26 ??        17:07.43 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   986     1   0  6Jun26 ??         0:26.03 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501   987     1   0  6Jun26 ??         0:31.95 /usr/sbin/universalaccessd launchd -s
  501   989     1   0  6Jun26 ??         0:26.43 /usr/libexec/pboard
  501   991     1   0  6Jun26 ??         0:29.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   992     1   0  6Jun26 ??         8:15.25 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  501   993     1   0  6Jun26 ??         1:17.84 /usr/libexec/lsd
  501   994     1   0  6Jun26 ??         0:31.87 /usr/libexec/linkd
  501   995     1   0  6Jun26 ??         0:01.52 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501   996     1   0  6Jun26 ??         0:10.37 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  501   997     1   0  6Jun26 ??         0:04.07 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   998     1   0  6Jun26 ??         0:08.77 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   999     1   0  6Jun26 ??         0:00.04 /System/Library/CoreServices/APFSUserAgent
  501  1000     1   0  6Jun26 ??         0:00.05 /usr/libexec/mobilerepaird
  501  1002     1   0  6Jun26 ??         0:06.21 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
  501  1003     1   0  6Jun26 ??         9:31.85 /usr/libexec/nsurlsessiond
  501  1004     1   0  6Jun26 ??        14:43.95 /usr/libexec/rapportd
  501  1005     1   0  6Jun26 ??         0:31.68 /usr/sbin/usernoted
  501  1006     1   0  6Jun26 ??         5:23.16 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501  1007     1   0  6Jun26 ??         0:05.42 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501  1008     1   0  6Jun26 ??         0:38.24 /usr/libexec/secinitd
  501  1011     1   0  6Jun26 ??         0:39.65 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501  1012     1   0  6Jun26 ??        10:21.85 /usr/libexec/trustd --agent
  501  1013     1   0  6Jun26 ??         0:07.49 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501  1014     1   0  6Jun26 ??         0:00.02 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
  501  1016     1   0  6Jun26 ??         1:51.63 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501  1018     1   0  6Jun26 ??         0:48.03 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501  1019     1   0  6Jun26 ??         5:43.69 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501  1020     1   0  6Jun26 ??         0:07.86 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501  1021     1   0  6Jun26 ??        11:40.40 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501  1022     1   0  6Jun26 ??        80:49.81 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  501  1025     1   0  6Jun26 ??         0:01.80 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  501  1026     1   0  6Jun26 ??         0:35.58 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  501  1027     1   0  6Jun26 ??         0:06.35 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
